Score,Class,TP,TP+FP,Precision-score,Average,
0.644,1,1,1,1,0.55516,0.7
0.633,1,2,2,1,0.55226,0.68
0.628,1,3,3,1,0.54956,0.68
0.624,0,3,4,0.75,0.54684,0.66
0.624,1,4,5,0.8,0.5442,0.68
0.617,1,5,6,0.8333333333,0.54154,0.68
0.617,1,6,7,0.8571428571,0.53902,0.66
0.608,0,6,8,0.75,0.53648,0.66
0.607,1,7,9,0.7777777778,0.53412,0.66
0.605,1,8,10,0.8,0.53176,0.66
0.596,1,9,11,0.8181818182,0.5294,0.66
0.595,1,10,12,0.8333333333,0.5272,0.66
0.594,1,11,13,0.8461538462,0.52502,0.66
0.593,0,11,14,0.7857142857,0.52284,0.66
0.587,0,11,15,0.7333333333,0.52064,0.68
0.584,1,12,16,0.75,0.51856,0.7
0.577,1,13,17,0.7647058824,0.51652,0.7
0.575,0,13,18,0.7222222222,0.5146,0.7
0.57,1,14,19,0.7368421053,0.5127,0.7
0.561,0,14,20,0.7,0.51084,0.7
0.56,1,15,21,0.7142857143,0.50912,0.7
0.548,1,16,22,0.7272727273,0.50738,0.7
0.547,0,16,23,0.6956521739,0.50588,0.7
0.546,1,17,24,0.7083333333,0.5043,0.7
0.545,1,18,25,0.72,0.5027,0.7
0.543,1,19,26,0.7307692308,0.5011,0.68
0.54,1,20,27,0.7407407407,0.49946,0.66
0.539,1,21,28,0.75,0.49786,0.64
0.536,0,21,29,0.724137931,0.49628,0.62
0.536,1,22,30,0.7333333333,0.4947,0.62
0.536,1,23,31,0.7419354839,0.49312,0.62
0.536,1,24,32,0.75,0.49154,0.6
0.534,0,24,33,0.7272727273,0.48994,0.6
0.529,0,24,34,0.7058823529,0.48834,0.62
0.525,0,24,35,0.6857142857,0.4868,0.62
0.524,0,24,36,0.6666666667,0.48532,0.62
0.524,1,25,37,0.6756756757,0.4838,0.62
0.522,1,26,38,0.6842105263,0.48228,0.6
0.515,1,27,39,0.6923076923,0.48078,0.58
0.508,0,27,40,0.675,0.47942,0.56
0.506,1,28,41,0.6829268293,0.47818,0.58
0.505,1,29,42,0.6904761905,0.47694,0.56
0.505,1,30,43,0.6976744186,0.47572,0.56
0.504,1,31,44,0.7045454545,0.4745,0.56
0.504,0,31,45,0.6888888889,0.47328,0.56
0.503,0,31,46,0.6739130435,0.47206,0.58
0.501,1,32,47,0.6808510638,0.47084,0.58
0.5,1,33,48,0.6875,0.46966,0.58
0.499,1,34,49,0.693877551,0.46848,0.56
0.499,1,35,50,0.7,0.46732,0.54
