	CYT	ERE	EXC	GLG	MEM	MIT	NUC	VES
sp|P04201|MAS_HUMAN	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0
sp|P04216|THY1_HUMAN	0.01	0.0	0.48	0.0	0.08	0.02	0.02	0.01
sp|P04439|1A03_HUMAN	0.06	0.02	0.3	0.01	0.06	0.1	0.02	0.06
sp|P04899|GNAI2_HUMAN	0.28	0.01	0.07	0.02	0.03	0.03	0.17	0.02
